source_type,start_time,peak_time_soft,peak_time_hard,end_time,peak_rate_soft,peak_rate_hard,neupert_delay_sec
soft_only,1715041792.0,1715041792.0,,1715041792.0,696.0,,
joint,1715061760.0,1715062528.0,1715062042.0,1715062528.0,3802.0,138.7,486.0
joint,1715066174.0,1715066240.0,1715066179.0,1715066368.0,927.0,59.4,61.0
soft_only,1715070080.0,1715070208.0,,1715070336.0,885.0,,
soft_only,1715082112.0,1715082496.0,,1715082496.0,1775.0,,
soft_only,1715086208.0,1715086464.0,,1715086464.0,1089.0,,
soft_only,1715088000.0,1715088256.0,,1715088256.0,668.0,,
soft_only,1715099264.0,1715099392.0,,1715099520.0,6659.0,,
soft_only,1715103360.0,1715103488.0,,1715103616.0,386.0,,
soft_only,1715107968.0,1715108096.0,,1715108224.0,487.0,,
soft_only,1715113216.0,1715113344.0,,1715113472.0,1441.0,,
hard_only,1715042262.0,,1715042262.0,1715042266.0,,38.4,
hard_only,1715043010.0,,1715043010.0,1715043014.0,,38.5,
hard_only,1715043310.0,,1715043316.0,1715043317.0,,42.6,
hard_only,1715043984.0,,1715043985.0,1715043989.0,,43.7,
hard_only,1715044259.0,,1715044259.0,1715044262.0,,45.2,
hard_only,1715044303.0,,1715044304.0,1715044308.0,,49.8,
hard_only,1715045270.0,,1715045318.0,1715045328.0,,35.6,
hard_only,1715045442.0,,1715045443.0,1715045446.0,,56.8,
hard_only,1715045894.0,,1715045894.0,1715045903.0,,35.2,
hard_only,1715046187.0,,1715046188.0,1715046191.0,,49.6,
hard_only,1715047898.0,,1715047898.0,1715047908.0,,35.8,
hard_only,1715048872.0,,1715048904.0,1715048914.0,,27.5,
hard_only,1715049783.0,,1715049783.0,1715049786.0,,36.2,
hard_only,1715049855.0,,1715049855.0,1715049858.0,,39.4,
hard_only,1715050547.0,,1715050552.0,1715050554.0,,45.0,
hard_only,1715050934.0,,1715050938.0,1715050948.0,,56.1,
hard_only,1715051266.0,,1715051267.0,1715051271.0,,43.0,
hard_only,1715053374.0,,1715053419.0,1715053428.0,,27.0,
hard_only,1715053434.0,,1715053441.0,1715053444.0,,30.5,
hard_only,1715053696.0,,1715053696.0,1715053706.0,,43.2,
hard_only,1715053873.0,,1715053880.0,1715053883.0,,47.0,
hard_only,1715055172.0,,1715055193.0,1715055211.0,,31.4,
hard_only,1715055221.0,,1715055222.0,1715055231.0,,26.6,
hard_only,1715055871.0,,1715055871.0,1715055875.0,,39.5,
hard_only,1715055934.0,,1715055934.0,1715055937.0,,46.0,
hard_only,1715057321.0,,1715057323.0,1715057331.0,,41.0,
hard_only,1715057631.0,,1715057639.0,1715057641.0,,43.2,
hard_only,1715058774.0,,1715058787.0,1715058797.0,,38.3,
hard_only,1715058803.0,,1715058809.0,1715058813.0,,29.3,
hard_only,1715058837.0,,1715058840.0,1715058843.0,,45.2,
hard_only,1715059204.0,,1715059204.0,1715059211.0,,43.1,
hard_only,1715060434.0,,1715060434.0,1715060444.0,,36.1,
hard_only,1715061269.0,,1715061277.0,1715061279.0,,49.2,
hard_only,1715061667.0,,1715061669.0,1715061672.0,,38.6,
hard_only,1715061888.0,,1715061911.0,1715061923.0,,77.4,
hard_only,1715062917.0,,1715062921.0,1715062924.0,,33.9,
hard_only,1715063002.0,,1715063003.0,1715063005.0,,37.0,
hard_only,1715063558.0,,1715063558.0,1715063562.0,,30.6,
hard_only,1715063761.0,,1715063764.0,1715063771.0,,44.1,
hard_only,1715063784.0,,1715063786.0,1715063792.0,,44.2,
hard_only,1715063940.0,,1715063973.0,1715063989.0,,147.6,
hard_only,1715065975.0,,1715065990.0,1715066000.0,,26.1,
hard_only,1715066018.0,,1715066018.0,1715066021.0,,20.2,
hard_only,1715066043.0,,1715066051.0,1715066055.0,,27.3,
hard_only,1715066087.0,,1715066092.0,1715066102.0,,34.4,
